v0,v1,v2
51,26,25
52,26,51
53,26,52
56,46,45
57,56,45
58,45,44
58,57,45
59,44,43
59,58,44
60,59,43
61,56,57
62,60,43
62,43,42
63,57,58
63,61,57
64,63,58
65,42,41
65,62,42
66,58,59
66,64,58
67,59,60
67,66,59
68,67,60
69,60,62
69,68,60
70,62,65
70,69,62
71,70,65
72,33,32
73,32,31
73,72,32
74,31,30
74,73,31
75,74,30
76,75,30
76,30,29
77,73,74
77,72,73
78,76,29
78,29,28
79,74,75
79,77,74
80,78,28
80,26,53
80,27,26
80,28,27
81,79,75
81,75,76
82,76,78
82,81,76
83,78,80
83,82,78
84,83,80
85,84,80
86,80,53
86,85,80
86,53,54
87,0,24
87,24,88
89,54,55
90,91,89
90,89,92
93,94,92
95,87,96
95,0,87
97,55,23
98,99,100
98,100,101
102,98,101
103,97,23
103,101,97
103,102,101
104,49,48
104,50,49
104,24,50
105,104,48
105,47,46
105,46,56
105,48,47
105,56,106
105,107,104
105,108,107
105,106,108
109,24,104
109,104,107
109,107,108
109,88,24
110,38,37
110,39,38
111,88,109
112,40,39
112,41,40
112,39,110
112,65,41
113,112,110
114,88,111
115,65,112
115,71,65
116,115,112
117,34,33
117,35,34
117,33,72
118,114,119
118,88,114
120,115,116
121,71,115
121,115,120
122,121,120
122,123,124
125,71,121
126,72,77
127,70,71
127,71,125
128,126,77
129,124,130
129,130,125
129,122,124
129,121,122
129,125,121
131,127,125
131,125,130
132,128,77
132,123,128
133,132,134
133,123,132
133,124,123
135,133,134
135,124,133
136,130,124
136,124,135
137,87,88
138,130,136
138,136,135
139,119,140
141,82,83
142,83,84
142,141,83
142,84,85
142,85,86
142,86,54
142,54,141
143,138,135
143,135,134
144,141,54
145,140,146
145,139,140
147,139,145
148,147,145
149,134,144
150,151,143
150,152,151
150,91,90
153,152,150
153,154,152
155,156,157
158,144,54
158,149,144
158,89,91
158,54,89
158,91,149
159,160,155
161,162,154
161,163,164
161,153,163
161,154,153
165,162,161
165,161,164
166,165,164
167,150,90
167,90,92
167,92,94
167,153,150
167,163,153
167,94,163
168,169,159
168,155,157
168,159,155
170,164,171
170,166,164
170,172,166
173,169,168
173,168,174
