vertex,flat_x_mm,flat_y_mm,source_x_mm,source_y_mm,source_z_mm,u,v
0,308.44958279881166,435.1782601754041,-454.393512821511,131.046642722038,16.3235524980553,0.23676416133631192,0.5546990490916268
1,285.765832277577,432.9789192369225,-455.325447151992,108.268420297139,16.3100360683789,0.30172960516424807,0.5546990490897387
2,283.9883800252045,451.6539328808803,-474.063957049368,109.03258030338999,16.889560789532897,0.30359340318389316,0.5348865403722448
3,262.231079980886,449.66220950293985,-475.0481701261597,87.2059928886845,17.13757789696364,0.3713312029646722,0.5347840099039914
4,251.35889815469278,448.66228803583516,-475.5157017629171,76.31095652740169,17.77780686769184,0.40553866235092434,0.5347454152241192
5,248.52492811305592,448.4010913326987,-475.6304176217134,73.48203863974993,18.08927838153794,0.4138498174393391,0.5347388386951825
6,246.87901559319,448.2460315922824,-475.6937527582669,71.84682919044634,18.33399296439875,0.4186342254965462,0.5347366302002142
7,245.36285288769866,448.10499688318345,-475.74690010934086,70.35787657014355,18.65516143034076,0.4233250585217215,0.5347370904634196
8,244.66362634836446,448.0411198664677,-475.76907215633184,69.68133890893986,18.84406802559978,0.4256463119883812,0.5347383494602888
9,244.08811874388056,447.98782552267375,-475.78553456424567,69.13358655635595,19.029389149648413,0.42765628841972486,0.5347400005956564
10,243.51502342360135,447.934743548037,-475.79986681910947,68.600277014158,19.246701467925984,0.4297849953066269,0.5347424364719631
11,242.94220324178036,447.8825588744867,-475.8122705122826,68.08005018564991,19.492970755989738,0.4320872642991093,0.5347458200358304
12,241.1817103142704,447.7237704623358,-475.84284517400374,66.53729839867705,20.358291485409303,0.44090221791476125,0.5347598062384028
13,239.42312070465144,447.5673442002635,-475.8685821511197,65.03511850160739,21.288558012384584,0.4497434691003889,0.5347743759256061
14,238.98582713707043,447.5292620175416,-475.87286161358054,64.68019980742797,21.547518574977428,0.45234918969756516,0.5347788714576873
15,238.69789665596772,447.50477648376807,-475.87469455366113,64.45589072044474,21.73013491805444,0.45421423084837714,0.5347822419624478
16,238.4083093511586,447.4809287006917,-475.8754966583085,64.24085018070686,21.925972005193046,0.4562192449770117,0.5347860368815066
17,238.17356917606605,447.4622721242459,-475.8751250617195,64.07758084800345,22.09598202401415,0.45793585936319336,0.5347894500691802
18,237.96241903840826,447.4461283442676,-475.8738206163615,63.94193833099027,22.258874556070985,0.4595220636038635,0.5347927741685643
19,237.77216693131774,447.43248358201345,-475.87175860907485,63.830696052913424,22.414038485884554,0.46096050415645995,0.5347959627721138
20,237.54121789590295,447.41661525463405,-475.86824332370844,63.70897748070674,22.61119118610289,0.4626859852279758,0.5348000600706716
21,237.3025185761736,447.4015372340874,-475.8636736709199,63.596242274229205,22.822359125456074,0.46441079088057957,0.534804538641671
22,237.06316857214375,447.3877652611522,-475.8583691818542,63.493789694525596,23.039306184250425,0.46604946270584124,0.5348092708057232
23,236.74454043486418,447.36972679709083,-475.8504221351964,63.370851125058465,23.334027934221055,0.46806858610981594,0.5348159251493265
24,236.42332685214166,447.3529989045716,-475.8412415462765,63.26551318578717,23.638114093147276,0.4698980646969707,0.5348229831311042
25,236.1354610579278,447.33892796496355,-475.83183006533363,63.19101321075564,23.916635419437906,0.4713399948307532,0.5348295370939755
26,235.84740139597068,447.32666103176143,-475.821331017546,63.13577193722586,24.199702760769,0.47257056090738553,0.5348362147149981
27,235.5574214455483,447.31574388072664,-475.81000733925936,63.094366361311636,24.48697766838287,0.4735980196610493,0.5348429677098518
28,235.4116580019129,447.311025553949,-475.8038260555196,63.08324653217276,24.632404946119422,0.4740520330658455,0.5348463914174427
29,235.29418386198574,447.3077826908995,-475.798448853567,63.082647788525094,24.749914397632317,0.47439371920928014,0.5348491717581857
30,235.18823828837432,447.3056020418606,-475.7932602712287,63.08981198293743,24.85562344519464,0.47468527007172356,0.5348516893676273
31,235.06712999657233,447.30386611303084,-475.7869804796454,63.10657133737815,24.975542000261733,0.47500132999749317,0.5348545703676681
32,234.9458121311605,447.30285848554286,-475.78037337559886,63.13182626100865,25.094151354454155,0.4753022246425033,0.5348574529148497
33,234.8241993116821,447.30258694619954,-475.77348549784926,63.16490203570969,25.21110880830862,0.47559129517665144,0.5348603352012631
34,234.70232209095136,447.3027773643939,-475.7663633851568,63.20512394336203,25.32607166236183,0.4758718827698352,0.5348632154190003
35,234.58032547886432,447.30345500565784,-475.7590535762816,63.25181726584645,25.438697217150494,0.4761469102525545,0.5348660914786532
36,234.45841496560269,447.3048882208843,-475.75160260998376,63.30430728504369,25.54864277321132,0.4764170203382593,0.5348689597565299
37,234.33680521766803,447.30684626835534,-475.7440525409968,63.36194378759308,25.65563882272523,0.47668208272024953,0.5348718161087753
38,234.2154144739617,447.3091213693029,-475.736424114633,63.42419301399831,25.759763686226542,0.4769419664684509,0.5348746563911149
39,234.05372763414215,447.31257999085204,-475.726155916625,63.513504513192196,25.894444319760463,0.4772801961812647,0.5348784112736592
40,233.8719256628656,447.31735614786004,-475.7145108921371,63.621247860037776,26.040780366311747,0.4776490353594039,0.5348825803300223
41,233.6298751117394,447.32476520949626,-475.6989118366334,63.77406141721318,26.228387643438182,0.4781208626909533,0.5348880248073258
42,233.2686398667689,447.33757744219315,-475.6755426015183,64.01606685285839,26.496480190670166,0.4787839588877166,0.5348958824748246
43,232.86330907978208,447.35293969534575,-475.6493023133063,64.30254385252414,26.782890694834155,0.47947263142768193,0.5349042885851097
44,232.32137957589094,447.3734291738899,-475.6142653736207,64.7033001783212,27.147223158000244,0.48033046461191853,0.5349150491847583
45,231.4293047123644,447.4126508067795,-475.55673861666315,65.38634620561533,27.72057321297121,0.4817945580119432,0.5349323342115677
46,230.76988537501637,447.443537869746,-475.5144606863072,65.91169419190526,28.11877538923886,0.4833862058020438,0.534944635125599
47,230.0913482351167,447.4774518492401,-475.47137386256423,66.47537783183739,28.496543916294495,0.48568527080324714,0.5349566202198576
48,229.07798120647158,447.52974687057497,-475.40753935064237,67.33750182090657,29.029433003250457,0.489292951357072,0.534973825274338
49,228.17218310408134,447.57920243387923,-475.35109982957385,68.1282310605389,29.472343302505735,0.492353746220055,0.5349885063708868
50,227.15345549981302,447.6376645716791,-475.2885202756006,69.03978452886165,29.92892190848531,0.49601001457161403,0.5350039966557774
