id,name,estimated_g,low_g,high_g,x_mm,y_mm,z_mm,measured_g,basis
A04,Rear body former,8.325634205253417,6.244225653940063,10.407042756566772,-0.0061464896330156935,387.64999746208105,-1.3390230639207237,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A13,Front horizontal fuselage frame,38.62967233044887,28.972254247836652,48.28709041306109,1.6523642432247557e-07,-170.83194297555207,-2.9999998999970003,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A16,Body former at Y233.65mm,9.084868237577222,6.8136511781829165,11.356085296971528,2.2102131337428715e-05,236.65000009999997,-0.3312254726846131,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A18,Tail-carrier bulkhead,14.809583742379985,11.107187806784989,18.51197967797498,-4.8861827258390064e-05,457.49999989998173,16.95997563126758,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A25,Forward main-gear crossmember,7.150337717251176,5.362753287938382,8.93792214656397,1.1418279244987076e-05,128.00000186264,-1.9244748291096248,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A26,Motor firewall,4.376139423628216,3.2821045677211624,5.470174279535271,1.619307955449047e-05,579.6500000092796,-1.5994145937224664,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A34,Front body former at Y-130mm,8.979438368946747,6.734578776710061,11.224297961183435,2.158832700770982e-05,-126.99999989989999,-0.38227770584630916,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A43,Aft horizontal fuselage frame,33.58370247204796,25.187776854035974,41.979628090059954,-0.00790854718811046,363.8125073390556,-2.9800037145547784,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A47,Main-gear crossplate,4.466973872521541,3.350230404391156,5.583717340651927,0.6859434359949933,136.52323544165202,-13.0,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A48,Aft main-gear crossmember,7.150337717251177,5.362753287938383,8.937922146563972,1.141827924436256e-05,145.70000000000002,-1.9244748291096256,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A54,Body former at Y-5mm,9.040311659593023,6.780233744694767,11.300389574491279,2.18605360345632e-05,-1.9999998999999966,-0.40406911267580037,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A01_R,Rear-rod support rib at span130mm - right,1.5638623684628086,1.1728967763471065,1.954827960578511,130.00002151396,100.73947625006747,15.407790130372442,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A01_L,Rear-rod support rib at span130mm - left,1.5638623684628086,1.1728967763471065,1.954827960578511,-130.00002151396006,100.73947625006747,15.407790130372442,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A05_R,Front wing spar - right,19.187601397868995,14.390701048401747,23.984501747336246,254.7891106133467,82.29776187702019,16.0174387975792,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A05_L,Front wing spar - left,19.187601397868992,14.390701048401743,23.984501747336243,-254.78911061334676,82.2977618770202,16.01743879757921,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A10_R,Outer aileron endplate - right,1.7860970893880228,1.3395728170410173,2.232621361735029,773.088890706203,151.5646133510437,13.163028738992702,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A10_L,Outer aileron endplate - left,1.7860970893880308,1.3395728170410233,2.232621361735039,-773.0888907062036,151.5646133510437,13.1630287389927,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A24_R,Middle wing rib at span250mm - right,4.529802831231832,3.397352123423874,5.66225353903979,250.35002136404435,95.55627116248654,14.4914145774613,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A24_L,Middle wing rib at span250mm - left,4.529802831231833,3.397352123423875,5.662253539039791,-250.35002136404427,95.5562711624865,14.491414577461297,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A35_R,Inner wing rib at span53mm - right,6.643350397413315,4.982512798059986,8.304187996766645,56.00002171396605,94.46991189076455,14.191043282611677,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A35_L,Inner wing rib at span53mm - left,6.643350397413315,4.982512798059986,8.304187996766645,-56.00002171396605,94.46991189076455,14.191043282611677,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A44_R,Outer wing rib at span490mm - right,2.2349348093027315,1.6762011069770488,2.7936685116284146,490.00002225868025,102.24095863207941,13.794830323910919,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A44_L,Outer wing rib at span490mm - left,2.2349348093027332,1.6762011069770502,2.7936685116284172,-490.00002225868093,102.24095863207937,13.794830323910915,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
A53_R,Inner aileron endplate - right,2.895117417393063,2.1713380630447974,3.6188967717413294,495.9998909011011,155.53913274932862,12.372716126543956,,"Finished CAD volume; assumed plywood450/600/750kg/m3, not measured stock."
